timestamp, latitude, longitude, accuracy, UUID 
1497341820617,48.2638769,11.6712823,19.632999420166016,,80ec3f676e17debf
1497341820915,48.2638769,11.6712823,19.632999420166016,,80ec3f676e17debf
1497341825940,48.2639358,11.6710675,3.9000000953674316,,80ec3f676e17debf
1497341826928,48.2639346,11.6710577,32,,80ec3f676e17debf
1497341827929,48.2639465,11.6710784,16,,80ec3f676e17debf
1497341828929,48.2639542,11.6710908,32,,80ec3f676e17debf
1497341829929,48.263956,11.6711005,16,,80ec3f676e17debf
1497341830929,48.2639625,11.6711104,32,,80ec3f676e17debf
1497341831161,48.2639625,11.6711104,42.57099914550781,,80ec3f676e17debf
1497341831929,48.2639641,11.6711127,32,,80ec3f676e17debf
1497341832929,48.2639662,11.6711147,32,,80ec3f676e17debf
1497341833930,48.2639719,11.6711236,12,,80ec3f676e17debf
1497341834930,48.2639757,11.6711312,16,,80ec3f676e17debf
1497341835999,48.2639775,11.6711401,16,,80ec3f676e17debf
1497341836999,48.2639761,11.6711621,16,,80ec3f676e17debf
1497341837999,48.2639792,11.671176,16,,80ec3f676e17debf
1497341838999,48.2639799,11.6711855,24,,80ec3f676e17debf
1497341839999,48.2639838,11.6711956,12,,80ec3f676e17debf
1497341840999,48.2639896,11.6712026,12,,80ec3f676e17debf
1497341845460,48.2639896,11.6712026,12,,80ec3f676e17debf
1497341850472,48.2639896,11.6712026,12,,80ec3f676e17debf
1497341853526,48.2638632,11.6712383,336.3450012207031,,80ec3f676e17debf
1497341858530,48.2638632,11.6712383,401.3970031738281,,80ec3f676e17debf
1497341863537,48.2638632,11.6712383,466.4750061035156,,80ec3f676e17debf
1497341868627,48.2638632,11.6712383,532.6580200195312,,80ec3f676e17debf
1497341873619,48.2638632,11.6712383,597.5540161132812,,80ec3f676e17debf
1497341878771,48.2638632,11.6712383,664.5170288085938,,80ec3f676e17debf
1497341883821,48.2638632,11.6712383,730.1790161132812,,80ec3f676e17debf
