prediction, timestamp 
standing,1497341820365
standing,1497341821854
standing,1497341823386
standing,1497341824904
standing,1497341826361
walking,1497341827849
walking,1497341829393
walking,1497341830971
walking,1497341832369
walking,1497341833897
walking,1497341835411
elevator down,1497341836878
elevator down,1497341838380
elevator down,1497341839895
elevator down,1497341841385
elevator down,1497341843007
elevator down,1497341844395
elevator down,1497341845965
elevator down,1497341847438
elevator down,1497341848883
walking,1497341850377
walking,1497341851873
walking,1497341853397
walking,1497341854905
standing,1497341856370
standing,1497341857945
walking,1497341859381
walking,1497341860880
walking,1497341862384
walking,1497341863947
walking,1497341865418
walking,1497341866881
walking,1497341868391
walking,1497341869864
walking,1497341871382
walking,1497341872890
walking,1497341874380
walking,1497341875903
walking,1497341877649
walking,1497341878883
walking,1497341880413
walking,1497341881947
walking,1497341883394
sitting,1497341884878
sitting,1497341886678
sitting,1497341887945
