timestamp, light1, light2, light3, UUID 
1498223415582,78088,5573,78088,,80ec3f676e17debf
1498223415582,78088,5573,78088,,80ec3f676e17debf
1498223415755,78087,5607,78087,,80ec3f676e17debf
1498223415755,78087,5607,78087,,80ec3f676e17debf
1498223415937,77834,5461,77834,,80ec3f676e17debf
1498223415937,77834,5461,77834,,80ec3f676e17debf
1498223416115,77203,5367,77203,,80ec3f676e17debf
1498223416295,75561,5612,75561,,80ec3f676e17debf
1498223416476,73389,5530,73389,,80ec3f676e17debf
1498223416476,73389,5530,73389,,80ec3f676e17debf
1498223416655,8622,6084,8622,,80ec3f676e17debf
1498223416655,8622,6084,8622,,80ec3f676e17debf
1498223416836,7184,6103,7184,,80ec3f676e17debf
1498223417016,6549,6110,6549,,80ec3f676e17debf
1498223417016,6549,6110,6549,,80ec3f676e17debf
1498223417196,5720,6060,5720,,80ec3f676e17debf
1498223417377,5362,6024,5362,,80ec3f676e17debf
1498223417377,5362,6024,5362,,80ec3f676e17debf
1498223417559,4645,5937,4645,,80ec3f676e17debf
1498223417559,4645,5937,4645,,80ec3f676e17debf
1498223417735,3762,5843,3762,,80ec3f676e17debf
1498223417915,3061,5616,3061,,80ec3f676e17debf
1498223418095,2708,5456,2708,,80ec3f676e17debf
1498223418095,2708,5456,2708,,80ec3f676e17debf
1498223418286,2400,5317,2400,,80ec3f676e17debf
1498223418456,2043,5097,2043,,80ec3f676e17debf
1498223418635,2073,5205,2073,,80ec3f676e17debf
1498223418815,1827,5072,1827,,80ec3f676e17debf
1498223418996,1651,4986,1651,,80ec3f676e17debf
1498223418996,1651,4986,1651,,80ec3f676e17debf
1498223419176,1525,4912,1525,,80ec3f676e17debf
1498223419176,1525,4912,1525,,80ec3f676e17debf
1498223419355,1390,4756,1390,,80ec3f676e17debf
1498223419355,1390,4756,1390,,80ec3f676e17debf
1498223419536,1220,4540,1220,,80ec3f676e17debf
1498223419536,1220,4540,1220,,80ec3f676e17debf
1498223419715,1084,4367,1084,,80ec3f676e17debf
1498223419895,1074,4438,1074,,80ec3f676e17debf
1498223419895,1074,4438,1074,,80ec3f676e17debf
1498223420081,1026,4397,1026,,80ec3f676e17debf
1498223420081,1026,4397,1026,,80ec3f676e17debf
1498223420256,955,4280,955,,80ec3f676e17debf
1498223420256,955,4280,955,,80ec3f676e17debf
1498223420436,908,4248,908,,80ec3f676e17debf
1498223420436,908,4248,908,,80ec3f676e17debf
