timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498223373060,-6.200000286102295,-13.699999809265137,-22.200000762939453,26.81361625144009,,80ec3f676e17debf
1498223404135,-18.399999618530273,-19.899999618530273,-33.900001525878906,43.40253517727338,,80ec3f676e17debf
1498223404166,-18.399999618530273,-20.30000114440918,-35.10000228881836,44.52707251512924,,80ec3f676e17debf
1498223404286,-18.399999618530273,-19.899999618530273,-35.5,44.66340758167295,,80ec3f676e17debf
1498223404356,-18.600000381469727,-19.700000762939453,-35.60000228881836,44.73712279807453,,80ec3f676e17debf
1498223404406,-18.700000762939453,-19.700000762939453,-35.400001525878906,44.61995311589259,,80ec3f676e17debf
1498223404470,-18.80000114440918,-19.700000762939453,-35.29999923706055,44.58273237066977,,80ec3f676e17debf
1498223404565,-19,-19.399999618530273,-35.400001525878906,44.61524561852778,,80ec3f676e17debf
1498223404626,-19.100000381469727,-19.200000762939453,-35.70000076293945,44.8100452469008,,80ec3f676e17debf
1498223404671,-19.100000381469727,-19,-35.60000228881836,44.644934040695446,,80ec3f676e17debf
1498223404745,-19.100000381469727,-18.80000114440918,-35.70000076293945,44.64011842882861,,80ec3f676e17debf
1498223404783,-19,-18.700000762939453,-35.70000076293945,44.555360454873124,,80ec3f676e17debf
1498223404835,-18.899999618530273,-18.700000762939453,-35.70000076293945,44.51280868153289,,80ec3f676e17debf
1498223404876,-18.899999618530273,-18.700000762939453,-35.5,44.35256502632134,,80ec3f676e17debf
1498223404945,-18.80000114440918,-19,-35.400001525878906,44.357639581124964,,80ec3f676e17debf
1498223405006,-18.899999618530273,-19,-35.400001525878906,44.40011427581103,,80ec3f676e17debf
1498223405035,-18.80000114440918,-19.100000381469727,-35.400001525878906,44.400565506366654,,80ec3f676e17debf
1498223405105,-18.899999618530273,-19.100000381469727,-35.20000076293945,44.28385776548549,,80ec3f676e17debf
1498223405157,-18.80000114440918,-19.100000381469727,-35.400001525878906,44.400565506366654,,80ec3f676e17debf
1498223405196,-18.700000762939453,-19.100000381469727,-35.5,44.4381599645525,,80ec3f676e17debf
1498223405268,-18.700000762939453,-18.899999618530273,-35.400001525878906,44.27256690845994,,80ec3f676e17debf
1498223405334,-18.600000381469727,-18.700000762939453,-35.400001525878906,44.14533057053306,,80ec3f676e17debf
1498223405365,-18.5,-18.600000381469727,-35.5,44.141364070140106,,80ec3f676e17debf
1498223405387,-18.5,-18.600000381469727,-35.5,44.141364070140106,,80ec3f676e17debf
1498223405435,-18.399999618530273,-18.5,-35.29999923706055,43.896468689165715,,80ec3f676e17debf
1498223405485,-18.399999618530273,-18.399999618530273,-35.20000076293945,43.77396525538539,,80ec3f676e17debf
1498223405534,-18.30000114440918,-18.30000114440918,-35.20000076293945,43.690046113440204,,80ec3f676e17debf
1498223405555,-18.30000114440918,-18.30000114440918,-35.10000228881836,43.60951985711341,,80ec3f676e17debf
1498223405589,-18.30000114440918,-18.30000114440918,-35.20000076293945,43.690046113440204,,80ec3f676e17debf
1498223405634,-18.399999618530273,-18.30000114440918,-35.20000076293945,43.73202581389421,,80ec3f676e17debf
1498223405667,-18.399999618530273,-18.200000762939453,-35.29999923706055,43.770880550097,,80ec3f676e17debf
1498223405726,-18.399999618530273,-18,-35.5,43.84985744057321,,80ec3f676e17debf
1498223405755,-18.399999618530273,-17.899999618530273,-35.5,43.80890287034275,,80ec3f676e17debf
1498223405787,-18.30000114440918,-17.80000114440918,-35.60000228881836,43.80742151101066,,80ec3f676e17debf
1498223405885,-18.100000381469727,-17.399999618530273,-35.79999923706055,43.72653528116894,,80ec3f676e17debf
1498223405959,-18,-17,-35.79999923706055,43.527461361514355,,80ec3f676e17debf
1498223406006,-18,-16.899999618530273,-35.70000076293945,43.40622187724071,,80ec3f676e17debf
1498223406066,-18,-16.600000381469727,-35.60000228881836,43.20787086840161,,80ec3f676e17debf
1498223406076,-18,-16.600000381469727,-35.60000228881836,43.20787086840161,,80ec3f676e17debf
1498223406145,-18.100000381469727,-16.399999618530273,-35.5,43.090834377210875,,80ec3f676e17debf
1498223406194,-18.200000762939453,-16.399999618530273,-35.5,43.13293419426774,,80ec3f676e17debf
1498223406247,-18.200000762939453,-16.399999618530273,-35.60000228881836,43.2152764613268,,80ec3f676e17debf
1498223406275,-18.200000762939453,-16.399999618530273,-35.70000076293945,43.297691907441425,,80ec3f676e17debf
1498223406325,-18.30000114440918,-16.30000114440918,-35.79999923706055,43.38455912767957,,80ec3f676e17debf
1498223406356,-18.399999618530273,-16.30000114440918,-35.79999923706055,43.42683413623083,,80ec3f676e17debf
1498223406395,-18.399999618530273,-16.30000114440918,-35.900001525878906,43.50931037273894,,80ec3f676e17debf
1498223406454,-18.5,-16.399999618530273,-36,43.67161539781965,,80ec3f676e17debf
1498223406475,-18.5,-16.399999618530273,-36.20000076293945,43.83662914654411,,80ec3f676e17debf
1498223406556,-18.600000381469727,-16.600000381469727,-36.29999923706055,44.0364617213679,,80ec3f676e17debf
1498223406606,-18.600000381469727,-16.700000762939453,-36.5,44.23912337084782,,80ec3f676e17debf
1498223406635,-18.600000381469727,-16.600000381469727,-36.5,44.20147078470636,,80ec3f676e17debf
1498223406674,-18.600000381469727,-16.700000762939453,-36.79999923706055,44.48696468467442,,80ec3f676e17debf
1498223406716,-18.600000381469727,-16.600000381469727,-36.70000076293945,44.366767227055064,,80ec3f676e17debf
1498223406754,-18.5,-16.5,-36.70000076293945,44.28758307526431,,80ec3f676e17debf
1498223406794,-18.399999618530273,-16.30000114440918,-36.79999923706055,44.25483047930421,,80ec3f676e17debf
1498223406834,-18.30000114440918,-16,-37,44.270645411672234,,80ec3f676e17debf
1498223406866,-18.200000762939453,-15.699999809265137,-37.10000228881836,44.20565763831965,,80ec3f676e17debf
1498223406925,-18,-15.40000057220459,-37.400001525878906,44.270985427894374,,80ec3f676e17debf
1498223406954,-17.899999618530273,-15.199999809265137,-37.5,44.245903385857815,,80ec3f676e17debf
1498223406985,-17.899999618530273,-15,-37.60000228881836,44.262513541149794,,80ec3f676e17debf
1498223407035,-17.80000114440918,-14.600000381469727,-37.70000076293945,44.17340907808767,,80ec3f676e17debf
1498223407074,-17.80000114440918,-14.40000057220459,-37.70000076293945,44.107710003888315,,80ec3f676e17debf
1498223407129,-17.80000114440918,-14.199999809265137,-37.5,43.87174519260793,,80ec3f676e17debf
1498223407155,-17.80000114440918,-14.199999809265137,-37.400001525878906,43.7863010321842,,80ec3f676e17debf
1498223407198,-17.899999618530273,-13.90000057220459,-37.29999923706055,43.64527365144335,,80ec3f676e17debf
1498223407246,-17.899999618530273,-13.699999809265137,-37,43.32551165684196,,80ec3f676e17debf
1498223407278,-17.899999618530273,-13.600000381469727,-36.900001525878906,43.20856497594283,,80ec3f676e17debf
1498223407335,-18,-13.5,-36.70000076293945,43.04811278846539,,80ec3f676e17debf
1498223407360,-18,-13.40000057220459,-36.60000228881836,42.93157571626559,,80ec3f676e17debf
1498223407394,-18,-13.40000057220459,-36.5,42.846353553335,,80ec3f676e17debf
1498223407434,-18.200000762939453,-13.300000190734863,-36.5,42.89965058297796,,80ec3f676e17debf
1498223407467,-18.200000762939453,-13.300000190734863,-36.5,42.89965058297796,,80ec3f676e17debf
1498223407514,-18.30000114440918,-13.300000190734863,-36.400001525878906,42.857206250098436,,80ec3f676e17debf
1498223407585,-18.30000114440918,-13.40000057220459,-36.5,42.973248166544245,,80ec3f676e17debf
1498223407645,-18.399999618530273,-13.40000057220459,-36.60000228881836,43.100814273515056,,80ec3f676e17debf
1498223407685,-18.399999618530273,-13.5,-36.70000076293945,43.21689498572325,,80ec3f676e17debf
1498223407726,-18.399999618530273,-13.600000381469727,-36.79999923706055,43.33312814125973,,80ec3f676e17debf
1498223407755,-18.399999618530273,-13.699999809265137,-36.79999923706055,43.3646166243354,,80ec3f676e17debf
1498223407788,-18.399999618530273,-13.800000190734863,-36.900001525878906,43.481146574370314,,80ec3f676e17debf
1498223407825,-18.30000114440918,-13.90000057220459,-36.900001525878906,43.47079680153732,,80ec3f676e17debf
1498223407876,-18.399999618530273,-13.90000057220459,-37,43.59782127046316,,80ec3f676e17debf
1498223407914,-18.399999618530273,-14.100000381469727,-37.20000076293945,43.831610719509285,,80ec3f676e17debf
1498223407945,-18.5,-14.100000381469727,-37.29999923706055,43.958502360858134,,80ec3f676e17debf
1498223407994,-18.5,-14.100000381469727,-37.10000228881836,43.78892747107861,,80ec3f676e17debf
1498223408035,-18.600000381469727,-14.100000381469727,-37,43.746657412767426,,80ec3f676e17debf
1498223408105,-18.600000381469727,-14.100000381469727,-37,43.746657412767426,,80ec3f676e17debf
1498223408157,-18.600000381469727,-14.100000381469727,-36.70000076293945,43.49321843044587,,80ec3f676e17debf
1498223408214,-18.600000381469727,-14.100000381469727,-36.70000076293945,43.49321843044587,,80ec3f676e17debf
1498223408254,-18.600000381469727,-14.100000381469727,-36.79999923706055,43.577632164040466,,80ec3f676e17debf
1498223408346,-18.600000381469727,-14.199999809265137,-37.10000228881836,43.86354041356334,,80ec3f676e17debf
