timestamp, latitude, longitude, accuracy, UUID 
1497865111818,48.2638278,11.6711843,50,,80ec3f676e17debf
1497865117286,48.2638442,11.671217,19.36400032043457,,80ec3f676e17debf
1497865120178,48.2639193,11.6710287,8,,80ec3f676e17debf
1497865121191,48.2639244,11.6710337,32,,80ec3f676e17debf
1497865122196,48.2639315,11.671036,32,,80ec3f676e17debf
1497865123195,48.2639386,11.6710395,32,,80ec3f676e17debf
1497865124200,48.2639408,11.6710448,12,,80ec3f676e17debf
1497865125200,48.2639371,11.671048,6,,80ec3f676e17debf
1497865124541,48.2639371,11.671048,13.628999710083008,,80ec3f676e17debf
1497865125999,48.2639359,11.6710462,8,,80ec3f676e17debf
1497865126999,48.263946,11.6710535,8,,80ec3f676e17debf
1497865127999,48.2639517,11.6710505,8,,80ec3f676e17debf
1497865128999,48.2639489,11.6710566,16,,80ec3f676e17debf
1497865129999,48.263952,11.6710668,16,,80ec3f676e17debf
1497865130999,48.263955,11.6710766,16,,80ec3f676e17debf
1497865131999,48.2639592,11.6710837,16,,80ec3f676e17debf
1497865132999,48.2639649,11.6710897,16,,80ec3f676e17debf
1497865133999,48.2639715,11.6710949,16,,80ec3f676e17debf
1497865134999,48.2639754,11.6710995,8,,80ec3f676e17debf
1497865135999,48.2639779,11.6711037,8,,80ec3f676e17debf
1497865136999,48.2639675,11.6711005,8,,80ec3f676e17debf
1497865137999,48.2639678,11.6711091,8,,80ec3f676e17debf
1497865138999,48.263968,11.6711194,24,,80ec3f676e17debf
1497865139999,48.2639678,11.6711267,12,,80ec3f676e17debf
1497865140999,48.2639706,11.671135,16,,80ec3f676e17debf
1497865152842,48.2638769,11.6712823,387.5350036621094,,80ec3f676e17debf
1497865157847,48.2638769,11.6712823,452.6000061035156,,80ec3f676e17debf
1497865162873,48.2638769,11.6712823,517.93701171875,,80ec3f676e17debf
1497865167870,48.2638769,11.6712823,582.8989868164062,,80ec3f676e17debf
1497865172879,48.2638769,11.6712823,648.0150146484375,,80ec3f676e17debf
1497865177891,48.2638769,11.6712823,713.1719970703125,,80ec3f676e17debf
1497865182937,48.2639275,11.6589713,1299.9990234375,,80ec3f676e17debf
1497865187946,48.2639275,11.6589713,1299.9990234375,,80ec3f676e17debf
1497865192960,48.2639275,11.6589713,1299.9990234375,,80ec3f676e17debf
1497865197958,48.2639275,11.6589713,1299.9990234375,,80ec3f676e17debf
