timestamp, light1, light2, light3, UUID 
1497865114738,111252,5641,111252,,80ec3f676e17debf
1497865114925,111047,5677,111047,,80ec3f676e17debf
1497865114925,111047,5677,111047,,80ec3f676e17debf
1497865115279,113590,5678,113590,,80ec3f676e17debf
1497865115279,113590,5678,113590,,80ec3f676e17debf
1497865116036,112772,5748,112772,,80ec3f676e17debf
1497865116036,112772,5748,112772,,80ec3f676e17debf
1497865116181,113168,5787,113168,,80ec3f676e17debf
1497865116362,113424,5823,113424,,80ec3f676e17debf
1497865116362,113424,5823,113424,,80ec3f676e17debf
1497865116544,109440,5915,109440,,80ec3f676e17debf
1497865116544,109440,5915,109440,,80ec3f676e17debf
1497865116719,107831,5964,107831,,80ec3f676e17debf
1497865116719,107831,5964,107831,,80ec3f676e17debf
1497865117259,114433,5686,114433,,80ec3f676e17debf
1497865117445,113775,5758,113775,,80ec3f676e17debf
1497865117445,113775,5758,113775,,80ec3f676e17debf
1497865117626,109677,6008,109677,,80ec3f676e17debf
1497865117626,109677,6008,109677,,80ec3f676e17debf
1497865117799,109599,5988,109599,,80ec3f676e17debf
1497865117799,109599,5988,109599,,80ec3f676e17debf
1497865117987,111346,5867,111346,,80ec3f676e17debf
1497865118176,113166,5723,113166,,80ec3f676e17debf
1497865118176,113166,5723,113166,,80ec3f676e17debf
1497865118338,117151,5682,117151,,80ec3f676e17debf
1497865118338,117151,5682,117151,,80ec3f676e17debf
1497865118518,117658,5561,117658,,80ec3f676e17debf
1497865118518,117658,5561,117658,,80ec3f676e17debf
1497865118699,115158,5699,115158,,80ec3f676e17debf
1497865118699,115158,5699,115158,,80ec3f676e17debf
1497865118878,108878,5924,108878,,80ec3f676e17debf
1497865119081,109097,5939,109097,,80ec3f676e17debf
1497865119081,109097,5939,109097,,80ec3f676e17debf
1497865119240,111669,5881,111669,,80ec3f676e17debf
1497865119240,111669,5881,111669,,80ec3f676e17debf
1497865119420,113674,5747,113674,,80ec3f676e17debf
1497865119420,113674,5747,113674,,80ec3f676e17debf
1497865119603,116212,5636,116212,,80ec3f676e17debf
1497865119603,116212,5636,116212,,80ec3f676e17debf
1497865119786,114492,5755,114492,,80ec3f676e17debf
1497865119958,108868,5981,108868,,80ec3f676e17debf
1497865119958,108868,5981,108868,,80ec3f676e17debf
1497865120138,107372,6008,107372,,80ec3f676e17debf
1497865120138,107372,6008,107372,,80ec3f676e17debf
1497865120320,109884,5887,109884,,80ec3f676e17debf
1497865120320,109884,5887,109884,,80ec3f676e17debf
1497865120500,109506,5908,109506,,80ec3f676e17debf
1497865120679,116607,5648,116607,,80ec3f676e17debf
1497865120679,116607,5648,116607,,80ec3f676e17debf
1497865120858,118503,5563,118503,,80ec3f676e17debf
1497865120858,118503,5563,118503,,80ec3f676e17debf
1497865121043,114405,5743,114405,,80ec3f676e17debf
1497865121043,114405,5743,114405,,80ec3f676e17debf
1497865121219,108540,5950,108540,,80ec3f676e17debf
1497865121219,108540,5950,108540,,80ec3f676e17debf
1497865121402,107503,5895,107503,,80ec3f676e17debf
1497865121402,107503,5895,107503,,80ec3f676e17debf
1497865121580,108816,5965,108816,,80ec3f676e17debf
1497865121760,112150,5828,112150,,80ec3f676e17debf
1497865121760,112150,5828,112150,,80ec3f676e17debf
1497865121940,116740,5632,116740,,80ec3f676e17debf
1497865122119,116913,5584,116913,,80ec3f676e17debf
1497865122299,115916,5805,115916,,80ec3f676e17debf
1497865122299,115916,5805,115916,,80ec3f676e17debf
1497865122488,111919,5949,111919,,80ec3f676e17debf
1497865122668,109327,5982,109327,,80ec3f676e17debf
1497865122668,109327,5982,109327,,80ec3f676e17debf
1497865122842,115324,5775,115324,,80ec3f676e17debf
1497865122842,115324,5775,115324,,80ec3f676e17debf
1497865123018,119579,5456,119579,,80ec3f676e17debf
1497865123018,119579,5456,119579,,80ec3f676e17debf
1497865123198,120344,5376,120344,,80ec3f676e17debf
1497865123198,120344,5376,120344,,80ec3f676e17debf
1497865123378,118394,5440,118394,,80ec3f676e17debf
1497865123562,114969,5770,114969,,80ec3f676e17debf
1497865123562,114969,5770,114969,,80ec3f676e17debf
1497865123739,111478,5768,111478,,80ec3f676e17debf
1497865123739,111478,5768,111478,,80ec3f676e17debf
1497865123932,109207,5805,109207,,80ec3f676e17debf
1497865123932,109207,5805,109207,,80ec3f676e17debf
1497865124099,114066,5653,114066,,80ec3f676e17debf
1497865124099,114066,5653,114066,,80ec3f676e17debf
1497865124282,115354,5604,115354,,80ec3f676e17debf
1497865124461,118396,5647,118396,,80ec3f676e17debf
1497865124461,118396,5647,118396,,80ec3f676e17debf
1497865124641,104542,5709,104542,,80ec3f676e17debf
1497865124641,104542,5709,104542,,80ec3f676e17debf
1497865124820,105197,5826,105197,,80ec3f676e17debf
1497865124820,105197,5826,105197,,80ec3f676e17debf
1497865124999,99725,6001,99725,,80ec3f676e17debf
1497865124999,99725,6001,99725,,80ec3f676e17debf
1497865125180,4356,6368,4356,,80ec3f676e17debf
1497865125359,4084,6220,4084,,80ec3f676e17debf
1497865125359,4084,6220,4084,,80ec3f676e17debf
1497865125542,3837,6160,3837,,80ec3f676e17debf
1497865125542,3837,6160,3837,,80ec3f676e17debf
1497865125719,3507,5981,3507,,80ec3f676e17debf
1497865125719,3507,5981,3507,,80ec3f676e17debf
1497865125900,3222,5907,3222,,80ec3f676e17debf
1497865125900,3222,5907,3222,,80ec3f676e17debf
1497865126081,3269,5940,3269,,80ec3f676e17debf
1497865126258,3103,5827,3103,,80ec3f676e17debf
1497865126258,3103,5827,3103,,80ec3f676e17debf
1497865126452,2957,5720,2957,,80ec3f676e17debf
1497865126452,2957,5720,2957,,80ec3f676e17debf
1497865126619,2775,5557,2775,,80ec3f676e17debf
1497865126619,2775,5557,2775,,80ec3f676e17debf
1497865126800,2701,5516,2701,,80ec3f676e17debf
