prediction, timestamp 
standing,1497865116132
standing,1497865117646
standing,1497865119138
standing,1497865120666
standing,1497865122317
standing,1497865123613
walking,1497865125130
walking,1497865126626
walking,1497865128128
walking,1497865129639
walking,1497865131125
walking downstairs,1497865132618
walking downstairs,1497865134125
walking downstairs,1497865135667
walking downstairs,1497865137119
walking downstairs,1497865138632
walking downstairs,1497865140142
walking downstairs,1497865141633
walking downstairs,1497865143126
walking downstairs,1497865144619
walking downstairs,1497865146126
walking downstairs,1497865147624
walking downstairs,1497865149195
walking downstairs,1497865150724
walking downstairs,1497865152095
walking downstairs,1497865153629
walking downstairs,1497865155113
walking,1497865156620
walking,1497865158123
walking,1497865159827
walking,1497865161124
walking,1497865162652
walking,1497865164166
walking,1497865165629
walking,1497865167136
walking,1497865168628
walking,1497865170122
walking,1497865171668
walking,1497865173128
walking,1497865175232
walking,1497865176122
walking,1497865177622
walking,1497865179174
walking,1497865180601
walking,1497865182108
walking,1497865183661
walking,1497865185120
walking,1497865186626
walking,1497865188126
walking,1497865189610
walking,1497865191099
walking,1497865192919
walking,1497865194115
walking,1497865195621
walking,1497865197108
walking,1497865198624
walking,1497865200147
walking,1497865201636
walking,1497865203137
