prediction, timestamp 
walking,1498222851457
walking,1498222852969
walking,1498222854472
walking,1498222856021
walking,1498222857488
walking,1498222859275
walking,1498222860974
walking,1498222861980
walking,1498222863485
walking,1498222865000
walking downstairs,1498222866485
walking downstairs,1498222867986
walking downstairs,1498222869481
walking downstairs,1498222871021
walking downstairs,1498222872939
walking downstairs,1498222874120
walking downstairs,1498222875871
walking downstairs,1498222876983
walking downstairs,1498222878695
walking downstairs,1498222879974
walking downstairs,1498222881466
walking downstairs,1498222882963
walking downstairs,1498222884473
walking downstairs,1498222885972
walking downstairs,1498222887470
walking downstairs,1498222888979
walking downstairs,1498222890523
walking downstairs,1498222891997
walking downstairs,1498222893518
walking downstairs,1498222894969
walking downstairs,1498222896468
walking downstairs,1498222897956
walking downstairs,1498222899487
walking downstairs,1498222900972
walking downstairs,1498222902480
walking downstairs,1498222903973
walking downstairs,1498222905487
walking downstairs,1498222907062
walking downstairs,1498222908468
walking downstairs,1498222909984
