timestamp, light1, light2, light3, UUID 
1498222734503,105709,5504,105709,,80ec3f676e17debf
1498222735217,118162,5356,118162,,80ec3f676e17debf
1498222735577,112870,5551,112870,,80ec3f676e17debf
1498222735577,112870,5551,112870,,80ec3f676e17debf
1498222735758,108158,5600,108158,,80ec3f676e17debf
1498222735758,108158,5600,108158,,80ec3f676e17debf
1498222735939,101460,5589,101460,,80ec3f676e17debf
1498222736118,104618,5594,104618,,80ec3f676e17debf
1498222736118,104618,5594,104618,,80ec3f676e17debf
1498222736312,101567,5580,101567,,80ec3f676e17debf
1498222736312,101567,5580,101567,,80ec3f676e17debf
1498222736480,101345,5581,101345,,80ec3f676e17debf
1498222736480,101345,5581,101345,,80ec3f676e17debf
1498222736659,100026,5570,100026,,80ec3f676e17debf
1498222736659,100026,5570,100026,,80ec3f676e17debf
1498222736837,99896,5644,99896,,80ec3f676e17debf
1498222737018,98911,5711,98911,,80ec3f676e17debf
1498222737018,98911,5711,98911,,80ec3f676e17debf
1498222737198,100275,5728,100275,,80ec3f676e17debf
1498222737198,100275,5728,100275,,80ec3f676e17debf
1498222737377,107614,5552,107614,,80ec3f676e17debf
1498222737377,107614,5552,107614,,80ec3f676e17debf
1498222737557,112051,5425,112051,,80ec3f676e17debf
1498222737557,112051,5425,112051,,80ec3f676e17debf
1498222737738,110695,5449,110695,,80ec3f676e17debf
1498222737917,110430,5682,110430,,80ec3f676e17debf
1498222737917,110430,5682,110430,,80ec3f676e17debf
1498222738099,109239,5704,109239,,80ec3f676e17debf
1498222738099,109239,5704,109239,,80ec3f676e17debf
1498222738279,108961,5595,108961,,80ec3f676e17debf
1498222738279,108961,5595,108961,,80ec3f676e17debf
1498222738459,109567,5601,109567,,80ec3f676e17debf
1498222738459,109567,5601,109567,,80ec3f676e17debf
1498222738637,108500,5640,108500,,80ec3f676e17debf
1498222738822,106756,5559,106756,,80ec3f676e17debf
1498222738822,106756,5559,106756,,80ec3f676e17debf
1498222738998,106764,5599,106764,,80ec3f676e17debf
1498222738998,106764,5599,106764,,80ec3f676e17debf
1498222739177,107264,5688,107264,,80ec3f676e17debf
1498222739177,107264,5688,107264,,80ec3f676e17debf
1498222739358,107837,5697,107837,,80ec3f676e17debf
1498222739358,107837,5697,107837,,80ec3f676e17debf
1498222739538,108488,5662,108488,,80ec3f676e17debf
1498222739718,108447,5688,108447,,80ec3f676e17debf
1498222739718,108447,5688,108447,,80ec3f676e17debf
1498222739902,108847,5713,108847,,80ec3f676e17debf
1498222739902,108847,5713,108847,,80ec3f676e17debf
1498222740078,109609,5685,109609,,80ec3f676e17debf
1498222740078,109609,5685,109609,,80ec3f676e17debf
1498222740257,111637,5610,111637,,80ec3f676e17debf
1498222740257,111637,5610,111637,,80ec3f676e17debf
1498222740619,110033,5618,110033,,80ec3f676e17debf
1498222740798,108694,5691,108694,,80ec3f676e17debf
1498222740798,108694,5691,108694,,80ec3f676e17debf
1498222740978,108253,5692,108253,,80ec3f676e17debf
1498222740978,108253,5692,108253,,80ec3f676e17debf
1498222741168,108253,5692,108253,,80ec3f676e17debf
1498222741168,108253,5692,108253,,80ec3f676e17debf
1498222741337,107924,5693,107924,,80ec3f676e17debf
1498222741517,108480,5684,108480,,80ec3f676e17debf
1498222741517,108480,5684,108480,,80ec3f676e17debf
1498222741699,108492,5654,108492,,80ec3f676e17debf
1498222741699,108492,5654,108492,,80ec3f676e17debf
1498222741877,108381,5655,108381,,80ec3f676e17debf
1498222741877,108381,5655,108381,,80ec3f676e17debf
1498222742059,108661,5647,108661,,80ec3f676e17debf
1498222742059,108661,5647,108661,,80ec3f676e17debf
1498222742238,109056,5631,109056,,80ec3f676e17debf
1498222742238,109056,5631,109056,,80ec3f676e17debf
1498222742421,108805,5635,108805,,80ec3f676e17debf
1498222742608,108162,5648,108162,,80ec3f676e17debf
1498222742608,108162,5648,108162,,80ec3f676e17debf
1498222742782,107606,5656,107606,,80ec3f676e17debf
1498222742782,107606,5656,107606,,80ec3f676e17debf
1498222742968,107754,5653,107754,,80ec3f676e17debf
1498222742968,107754,5653,107754,,80ec3f676e17debf
1498222743138,108791,5467,108791,,80ec3f676e17debf
1498222743319,110930,5422,110930,,80ec3f676e17debf
1498222743319,110930,5422,110930,,80ec3f676e17debf
1498222743497,111537,5422,111537,,80ec3f676e17debf
1498222743497,111537,5422,111537,,80ec3f676e17debf
1498222743677,110684,5425,110684,,80ec3f676e17debf
1498222743677,110684,5425,110684,,80ec3f676e17debf
1498222743858,103657,5501,103657,,80ec3f676e17debf
1498222743858,103657,5501,103657,,80ec3f676e17debf
1498222744039,101919,5602,101919,,80ec3f676e17debf
1498222744220,105818,5707,105818,,80ec3f676e17debf
1498222744220,105818,5707,105818,,80ec3f676e17debf
1498222744401,106726,5681,106726,,80ec3f676e17debf
1498222744401,106726,5681,106726,,80ec3f676e17debf
1498222744577,106452,5613,106452,,80ec3f676e17debf
1498222744577,106452,5613,106452,,80ec3f676e17debf
1498222744758,107894,5544,107894,,80ec3f676e17debf
