timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1497865716198,-3.799999952316284,10.40000057220459,-53.79999923706055,54.92758826198486,,80ec3f676e17debf
1497865716237,-3.9000000953674316,10.699999809265137,-53.79999923706055,54.992180719279,,80ec3f676e17debf
1497865716279,-4.099999904632568,11,-53.70000076293945,54.968174292155794,,80ec3f676e17debf
1497865716318,-4.400000095367432,11.300000190734863,-53.79999923706055,55.14970484470436,,80ec3f676e17debf
1497865716350,-4.5,11.5,-53.70000076293945,55.10163505329833,,80ec3f676e17debf
1497865716394,-4.700000286102295,12,-53.5,55.030355278336486,,80ec3f676e17debf
1497865716438,-4.700000286102295,12.300000190734863,-53.400001525878906,54.99945517183428,,80ec3f676e17debf
1497865716478,-4.700000286102295,12.800000190734863,-53.20000076293945,54.91966864331022,,80ec3f676e17debf
1497865716526,-4.599999904632568,13.300000190734863,-53,54.83657537845576,,80ec3f676e17debf
1497865716581,-4,13.90000057220459,-52.70000076293945,54.64887977841043,,80ec3f676e17debf
1497865716638,-3.299999952316284,14.199999809265137,-52.5,54.48651208124169,,80ec3f676e17debf
1497865716701,-2.799999952316284,14.5,-52.29999923706055,54.3450093268761,,80ec3f676e17debf
1497865716781,-2.1000001430511475,14.800000190734863,-52.10000228881836,54.20203100988014,,80ec3f676e17debf
1497865716870,-1.399999976158142,14.40000057220459,-52.29999923706055,54.26426130383218,,80ec3f676e17debf
1497865716959,-0.699999988079071,13.600000381469727,-52.400001525878906,54.1406525690248,,80ec3f676e17debf
1497865717179,-0.30000001192092896,12.5,-52.29999923706055,53.77387878018543,,80ec3f676e17debf
1497865717219,-0.5,12.600000381469727,-52.20000076293945,53.70149064650114,,80ec3f676e17debf
1497865717279,-1,12.699999809265137,-52.20000076293945,53.7320210040229,,80ec3f676e17debf
1497865717321,-1.3000000715255737,12.800000190734863,-52.29999923706055,53.859261514020126,,80ec3f676e17debf
1497865717358,-1.7000000476837158,13,-52.20000076293945,53.82127913748919,,80ec3f676e17debf
1497865717398,-2,13.100000381469727,-52.29999923706055,53.95275762119709,,80ec3f676e17debf
1497865717447,-2.5,13.199999809265137,-52.5,54.191696690861924,,80ec3f676e17debf
1497865717470,-2.799999952316284,13.5,-52.60000228881836,54.376927584978546,,80ec3f676e17debf
1497865717518,-3.200000047683716,13.800000190734863,-52.70000076293945,54.5707801137999,,80ec3f676e17debf
1497865717558,-3.5,13.800000190734863,-52.60000228881836,54.49266240832481,,80ec3f676e17debf
1497865717610,-3.799999952316284,13.699999809265137,-52.900001525878906,54.777186337133095,,80ec3f676e17debf
1497865717631,-3.9000000953674316,13.600000381469727,-52.900001525878906,54.75929294608988,,80ec3f676e17debf
1497865717679,-4.099999904632568,13.40000057220459,-53.20000076293945,55.01463443955345,,80ec3f676e17debf
1497865717709,-4.099999904632568,13.199999809265137,-53.400001525878906,55.15985903076682,,80ec3f676e17debf
1497865717753,-4,12.90000057220459,-53.60000228881836,55.275403426831936,,80ec3f676e17debf
1497865717809,-3.9000000953674316,12.199999809265137,-53.79999923706055,55.303615964383035,,80ec3f676e17debf
1497865717838,-3.799999952316284,12.100000381469727,-53.900001525878906,55.372016473310936,,80ec3f676e17debf
