UUID, meanHeading, class, timestamp 
80ec3f676e17debf,12.023331589816646,undefined,1497865715511
80ec3f676e17debf,367.6655133501064,undefined,1497865716495
80ec3f676e17debf,367.30612035883485,undefined,1497865717494
80ec3f676e17debf,365.1753031183133,undefined,1497865718504
80ec3f676e17debf,363.65313043102014,undefined,1497865719497
80ec3f676e17debf,362.8290355034556,undefined,1497865720490
80ec3f676e17debf,363.196311965915,undefined,1497865721482
80ec3f676e17debf,357.5304665958605,undefined,1497865722487
80ec3f676e17debf,351.4862116951695,undefined,1497865723501
80ec3f676e17debf,339.3279547985175,undefined,1497865724509
80ec3f676e17debf,329.30142918225454,undefined,1497865725513
80ec3f676e17debf,342.57232237285206,undefined,1497865726508
80ec3f676e17debf,369.3513159288831,undefined,1497865727509
80ec3f676e17debf,16.1270504255875,undefined,1497865728773
80ec3f676e17debf,16.817887051821124,undefined,1497865729521
80ec3f676e17debf,17.486085452889295,undefined,1497865730501
80ec3f676e17debf,16.301501887212957,undefined,1497865731495
80ec3f676e17debf,16.695302606123153,undefined,1497865732497
80ec3f676e17debf,16.388884044644183,undefined,1497865733506
80ec3f676e17debf,15.425664264910276,undefined,1497865734506
80ec3f676e17debf,15.932815077929668,undefined,1497865735504
80ec3f676e17debf,18.142813003428117,undefined,1497865736522
80ec3f676e17debf,28.611932871213174,undefined,1497865737519
80ec3f676e17debf,54.45153445015257,undefined,1497865738515
80ec3f676e17debf,61.968416888875836,undefined,1497865739512
80ec3f676e17debf,38.17454513561842,undefined,1497865740497
80ec3f676e17debf,18.160310196945506,undefined,1497865741517
80ec3f676e17debf,363.8265854992932,undefined,1497865742507
80ec3f676e17debf,347.39388101505585,undefined,1497865743506
80ec3f676e17debf,339.8661903117743,undefined,1497865744525
80ec3f676e17debf,347.9763848070515,undefined,1497865745500
80ec3f676e17debf,359.2602751978266,undefined,1497865746505
80ec3f676e17debf,368.30688140100585,undefined,1497865747540
80ec3f676e17debf,26.96697759308158,undefined,1497865748506
80ec3f676e17debf,52.4251646867439,undefined,1497865749503
80ec3f676e17debf,68.00162379985096,undefined,1497865750506
80ec3f676e17debf,80.38224266396234,undefined,1497865751505
80ec3f676e17debf,106.45908945478185,undefined,1497865752509
80ec3f676e17debf,127.74974074251497,undefined,1497865753518
80ec3f676e17debf,124.81144705324098,undefined,1497865754485
80ec3f676e17debf,116.5821984861822,undefined,1497865755785
80ec3f676e17debf,102.05716530217387,undefined,1497865756534
80ec3f676e17debf,67.48132137981358,undefined,1497865757506
80ec3f676e17debf,52.186602844907526,undefined,1497865758506
80ec3f676e17debf,50.61341503758385,undefined,1497865759504
80ec3f676e17debf,39.652082948111115,undefined,1497865760747
80ec3f676e17debf,29.911229497061306,undefined,1497865761494
80ec3f676e17debf,25.722277530109544,undefined,1497865762498
80ec3f676e17debf,21.078450194952428,undefined,1497865763500
80ec3f676e17debf,14.774506433401,undefined,1497865764506
80ec3f676e17debf,368.79640505293764,undefined,1497865765497
80ec3f676e17debf,10.261746386584635,undefined,1497865766500
80ec3f676e17debf,29.193321602560385,undefined,1497865767519
80ec3f676e17debf,44.94861755171181,undefined,1497865768497
80ec3f676e17debf,40.77703959676461,undefined,1497865769503
80ec3f676e17debf,29.36448414891969,undefined,1497865770505
80ec3f676e17debf,25.08383158501265,undefined,1497865771521
80ec3f676e17debf,23.894876232825734,undefined,1497865772529
80ec3f676e17debf,21.72738860935965,undefined,1497865773510
80ec3f676e17debf,368.42210028342123,undefined,1497865774506
80ec3f676e17debf,361.8345516543731,undefined,1497865775520
80ec3f676e17debf,363.9631472963776,undefined,1497865776510
80ec3f676e17debf,368.1777747554944,undefined,1497865777499
80ec3f676e17debf,12.76094147160306,undefined,1497865778755
80ec3f676e17debf,11.54895605385061,undefined,1497865779504
80ec3f676e17debf,368.80664711850164,undefined,1497865780505
80ec3f676e17debf,364.57318714720043,undefined,1497865781508
80ec3f676e17debf,364.0493801605841,undefined,1497865782516
80ec3f676e17debf,366.85992030999836,undefined,1497865783487
80ec3f676e17debf,368.4300834561026,undefined,1497865784499
80ec3f676e17debf,365.1966509349416,undefined,1497865785500
80ec3f676e17debf,362.38059325397455,undefined,1497865786516
80ec3f676e17debf,362.6466100462663,undefined,1497865787568
80ec3f676e17debf,368.7439503915367,undefined,1497865788500
80ec3f676e17debf,14.975923226983232,undefined,1497865789495
80ec3f676e17debf,18.37503393527045,undefined,1497865790561
80ec3f676e17debf,27.29799858053309,undefined,1497865791478
80ec3f676e17debf,29.144757318951022,undefined,1497865792528
80ec3f676e17debf,20.516448324952346,undefined,1497865793504
80ec3f676e17debf,13.916232366516722,undefined,1497865794515
80ec3f676e17debf,13.04741954507413,undefined,1497865795477
80ec3f676e17debf,12.353745870076802,undefined,1497865796492
80ec3f676e17debf,13.087215285285167,undefined,1497865797475
80ec3f676e17debf,368.4273023578291,undefined,1497865798499
80ec3f676e17debf,364.17447494381696,undefined,1497865799542
80ec3f676e17debf,356.28150453201897,undefined,1497865800528
80ec3f676e17debf,350.85250065778257,undefined,1497865801480
80ec3f676e17debf,355.28610971080724,undefined,1497865802506
80ec3f676e17debf,356.96310342256555,undefined,1497865803498
80ec3f676e17debf,360.68080943807945,undefined,1497865804478
80ec3f676e17debf,362.13351242426455,undefined,1497865805517
80ec3f676e17debf,365.355393794681,undefined,1497865806510
80ec3f676e17debf,14.472938834682855,undefined,1497865807475
80ec3f676e17debf,21.048808803165763,undefined,1497865808501
80ec3f676e17debf,21.20087071412822,undefined,1497865809493
80ec3f676e17debf,17.14079862051904,undefined,1497865810483
80ec3f676e17debf,20.71049912441548,undefined,1497865811494
80ec3f676e17debf,20.330125954045936,undefined,1497865812481
80ec3f676e17debf,27.48253257605545,undefined,1497865813498
80ec3f676e17debf,27.190622571111664,undefined,1497865814512
