timestamp, signal strength, UUID 
1498222604524,-97,,80ec3f676e17debf
1498222605511,-97,,80ec3f676e17debf
1498222605573,-97,,80ec3f676e17debf
1498222605780,-97,,80ec3f676e17debf
1498222606124,-97,,80ec3f676e17debf
1498222606201,-97,,80ec3f676e17debf
1498222606270,-97,,80ec3f676e17debf
1498222606342,-97,,80ec3f676e17debf
1498222606410,-97,,80ec3f676e17debf
1498222606609,-97,,80ec3f676e17debf
1498222606767,-97,,80ec3f676e17debf
1498222606849,-97,,80ec3f676e17debf
1498222606949,-97,,80ec3f676e17debf
1498222607020,-97,,80ec3f676e17debf
1498222607104,-97,,80ec3f676e17debf
1498222607202,-97,,80ec3f676e17debf
1498222607321,-97,,80ec3f676e17debf
1498222607438,-97,,80ec3f676e17debf
1498222607528,-97,,80ec3f676e17debf
1498222607613,-97,,80ec3f676e17debf
1498222607713,-97,,80ec3f676e17debf
1498222607821,-97,,80ec3f676e17debf
1498222607909,-97,,80ec3f676e17debf
1498222608010,-97,,80ec3f676e17debf
1498222608110,-97,,80ec3f676e17debf
1498222608211,-97,,80ec3f676e17debf
1498222608306,-97,,80ec3f676e17debf
1498222608412,-97,,80ec3f676e17debf
1498222608526,-97,,80ec3f676e17debf
1498222608623,-97,,80ec3f676e17debf
1498222608711,-97,,80ec3f676e17debf
1498222608816,-97,,80ec3f676e17debf
1498222608915,-97,,80ec3f676e17debf
1498222609014,-97,,80ec3f676e17debf
1498222609110,-97,,80ec3f676e17debf
1498222609207,-97,,80ec3f676e17debf
1498222609307,-97,,80ec3f676e17debf
1498222609418,-97,,80ec3f676e17debf
1498222609509,-97,,80ec3f676e17debf
1498222609651,-97,,80ec3f676e17debf
1498222609738,-97,,80ec3f676e17debf
1498222609852,-97,,80ec3f676e17debf
1498222609928,-97,,80ec3f676e17debf
1498222610013,-97,,80ec3f676e17debf
1498222610120,-97,,80ec3f676e17debf
1498222610205,-97,,80ec3f676e17debf
1498222610300,-97,,80ec3f676e17debf
1498222610415,-97,,80ec3f676e17debf
1498222610506,-97,,80ec3f676e17debf
1498222610615,-97,,80ec3f676e17debf
1498222610710,-97,,80ec3f676e17debf
1498222610815,-97,,80ec3f676e17debf
1498222610908,-97,,80ec3f676e17debf
1498222611011,-97,,80ec3f676e17debf
1498222611109,-97,,80ec3f676e17debf
1498222611215,-97,,80ec3f676e17debf
1498222611350,-97,,80ec3f676e17debf
1498222611419,-97,,80ec3f676e17debf
1498222611505,-97,,80ec3f676e17debf
1498222611662,-97,,80ec3f676e17debf
1498222611713,-97,,80ec3f676e17debf
1498222611805,-97,,80ec3f676e17debf
1498222611902,-97,,80ec3f676e17debf
1498222612010,-97,,80ec3f676e17debf
1498222612105,-97,,80ec3f676e17debf
1498222612206,-97,,80ec3f676e17debf
1498222612307,-97,,80ec3f676e17debf
1498222612408,-97,,80ec3f676e17debf
1498222612518,-97,,80ec3f676e17debf
1498222612622,-97,,80ec3f676e17debf
1498222612718,-97,,80ec3f676e17debf
1498222612810,-97,,80ec3f676e17debf
1498222612912,-97,,80ec3f676e17debf
1498222613005,-97,,80ec3f676e17debf
1498222613118,-97,,80ec3f676e17debf
1498222613210,-97,,80ec3f676e17debf
1498222613306,-97,,80ec3f676e17debf
