timestamp, lastAccessTime, proximity, UUID 
1497864744317,1497864744387,far,,80ec3f676e17debf
1497864744317,1497864744508,far,,80ec3f676e17debf
1497864744317,1497864744532,far,,80ec3f676e17debf
1497864744317,1497864744608,far,,80ec3f676e17debf
1497864744317,1497864744693,far,,80ec3f676e17debf
1497864744317,1497864744767,far,,80ec3f676e17debf
1497864744317,1497864744801,far,,80ec3f676e17debf
1497864744317,1497864744865,far,,80ec3f676e17debf
1497864744317,1497864744927,far,,80ec3f676e17debf
1497864744317,1497864744972,far,,80ec3f676e17debf
1497864744317,1497864744991,far,,80ec3f676e17debf
1497864744317,1497864745046,far,,80ec3f676e17debf
1497864744317,1497864745072,far,,80ec3f676e17debf
1497864744317,1497864745084,far,,80ec3f676e17debf
1497864744317,1497864745106,far,,80ec3f676e17debf
1497864744317,1497864745152,far,,80ec3f676e17debf
1497864744317,1497864745168,far,,80ec3f676e17debf
1497864744317,1497864745194,far,,80ec3f676e17debf
1497864744317,1497864745245,far,,80ec3f676e17debf
1497864744317,1497864745272,far,,80ec3f676e17debf
1497864744317,1497864745299,far,,80ec3f676e17debf
1497864744317,1497864745382,far,,80ec3f676e17debf
1497864744317,1497864745407,far,,80ec3f676e17debf
1497864744317,1497864745418,far,,80ec3f676e17debf
1497864744317,1497864745427,far,,80ec3f676e17debf
1497864744317,1497864745433,far,,80ec3f676e17debf
1497864744317,1497864745447,far,,80ec3f676e17debf
1497864744317,1497864745464,far,,80ec3f676e17debf
1497864744317,1497864745492,far,,80ec3f676e17debf
1497864744317,1497864745524,far,,80ec3f676e17debf
1497864744317,1497864745544,far,,80ec3f676e17debf
1497864744317,1497864745559,far,,80ec3f676e17debf
1497864744317,1497864745564,far,,80ec3f676e17debf
1497864744317,1497864745575,far,,80ec3f676e17debf
1497864744317,1497864745586,far,,80ec3f676e17debf
1497864744317,1497864745594,far,,80ec3f676e17debf
1497864744317,1497864745605,far,,80ec3f676e17debf
1497864744317,1497864745612,far,,80ec3f676e17debf
1497864744317,1497864745622,far,,80ec3f676e17debf
1497864744317,1497864745633,far,,80ec3f676e17debf
1497864744317,1497864745642,far,,80ec3f676e17debf
1497864744317,1497864745652,far,,80ec3f676e17debf
1497864744317,1497864745662,far,,80ec3f676e17debf
1497864744317,1497864745674,far,,80ec3f676e17debf
1497864744317,1497864745687,far,,80ec3f676e17debf
1497864744317,1497864745696,far,,80ec3f676e17debf
1497864744317,1497864745709,far,,80ec3f676e17debf
1497864744317,1497864745719,far,,80ec3f676e17debf
1497864744317,1497864745732,far,,80ec3f676e17debf
1497864744317,1497864745746,far,,80ec3f676e17debf
1497864744317,1497864745762,far,,80ec3f676e17debf
1497864744317,1497864745768,far,,80ec3f676e17debf
1497864744317,1497864745784,far,,80ec3f676e17debf
1497864744317,1497864745819,far,,80ec3f676e17debf
1497864744317,1497864745832,far,,80ec3f676e17debf
1497864744317,1497864745838,far,,80ec3f676e17debf
1497864744317,1497864745847,far,,80ec3f676e17debf
1497864744317,1497864745858,far,,80ec3f676e17debf
1497864744317,1497864745868,far,,80ec3f676e17debf
1497864744317,1497864745882,far,,80ec3f676e17debf
1497864744317,1497864745901,far,,80ec3f676e17debf
1497864744317,1497864745918,far,,80ec3f676e17debf
1497864744317,1497864745930,far,,80ec3f676e17debf
1497864744317,1497864745942,far,,80ec3f676e17debf
1497864744317,1497864745949,far,,80ec3f676e17debf
1497864744317,1497864745958,far,,80ec3f676e17debf
1497864744317,1497864745973,far,,80ec3f676e17debf
1497864744317,1497864745997,far,,80ec3f676e17debf
1497864744317,1497864746016,far,,80ec3f676e17debf
1497864744317,1497864746025,far,,80ec3f676e17debf
1497864744317,1497864746038,far,,80ec3f676e17debf
1497864744317,1497864746044,far,,80ec3f676e17debf
1497864744317,1497864746054,far,,80ec3f676e17debf
1497864744317,1497864746065,far,,80ec3f676e17debf
1497864744317,1497864746076,far,,80ec3f676e17debf
1497864744317,1497864746089,far,,80ec3f676e17debf
1497864744317,1497864746098,far,,80ec3f676e17debf
1497864744317,1497864746107,far,,80ec3f676e17debf
1497864744317,1497864746120,far,,80ec3f676e17debf
1497864744317,1497864746128,far,,80ec3f676e17debf
1497864744317,1497864746138,far,,80ec3f676e17debf
1497864744317,1497864746147,far,,80ec3f676e17debf
1497864744317,1497864746162,far,,80ec3f676e17debf
1497864744317,1497864746175,far,,80ec3f676e17debf
1497864744317,1497864746196,far,,80ec3f676e17debf
1497864744317,1497864746266,far,,80ec3f676e17debf
1497864744317,1497864746296,far,,80ec3f676e17debf
1497864744317,1497864746360,far,,80ec3f676e17debf
1497864744317,1497864746393,far,,80ec3f676e17debf
1497864744317,1497864746442,far,,80ec3f676e17debf
1497864744317,1497864746456,far,,80ec3f676e17debf
1497864744317,1497864746471,far,,80ec3f676e17debf
1497864744317,1497864746483,far,,80ec3f676e17debf
