prediction, timestamp 
standing,1497864745812
standing,1497864747349
standing,1497864748851
standing,1497864750352
standing,1497864751840
standing,1497864753355
standing,1497864754832
standing,1497864756319
standing,1497864757839
standing,1497864759344
standing,1497864760869
walking downstairs,1497864762348
walking downstairs,1497864763830
walking downstairs,1497864765315
walking downstairs,1497864766837
walking downstairs,1497864768308
walking downstairs,1497864769831
walking downstairs,1497864771339
walking downstairs,1497864772850
walking downstairs,1497864774339
walking downstairs,1497864775825
walking downstairs,1497864777330
walking downstairs,1497864778873
walking downstairs,1497864780351
walking downstairs,1497864781830
walking downstairs,1497864783308
walking,1497864784822
walking,1497864786325
walking,1497864787872
walking,1497864789449
walking,1497864790816
walking,1497864792318
walking,1497864793801
walking,1497864795312
walking,1497864796824
walking,1497864798344
walking,1497864799859
walking,1497864801326
walking,1497864802830
walking,1497864804338
walking,1497864805863
walking,1497864807341
walking,1497864808825
walking,1497864810336
walking,1497864811855
walking,1497864813388
walking,1497864814879
walking,1497864816333
walking,1497864817820
walking,1497864819317
walking,1497864820828
walking,1497864822375
walking,1497864823837
walking,1497864825332
walking,1497864826857
walking,1497864828315
walking,1497864829824
walking,1497864831345
walking,1497864832813
walking,1497864834325
