timestamp, latitude, longitude, accuracy, UUID 
1497341642574,48.2638743,11.6710384,3.665000915527344,,80ec3f676e17debf
1497341642961,48.2638743,11.6713072,19.665000915527344,,80ec3f676e17debf
1497341649905,48.2641155,11.6710433,16,,80ec3f676e17debf
1497341650908,48.2641166,11.671038,24,,80ec3f676e17debf
1497341651905,48.2641199,11.671048,16,,80ec3f676e17debf
1497341652905,48.2641248,11.6710412,32,,80ec3f676e17debf
1497341653204,48.2641248,11.6710412,43.4640007019043,,80ec3f676e17debf
1497341653905,48.2641302,11.6710395,32,,80ec3f676e17debf
1497341654905,48.2641327,11.6710447,32,,80ec3f676e17debf
1497341655905,48.264136,11.6710494,32,,80ec3f676e17debf
1497341656905,48.264139,11.6710549,32,,80ec3f676e17debf
1497341657905,48.2641381,11.6710626,32,,80ec3f676e17debf
1497341658913,48.2641326,11.6710908,16,,80ec3f676e17debf
1497341659913,48.2641279,11.6711186,16,,80ec3f676e17debf
1497341661000,48.2641251,11.6711447,16,,80ec3f676e17debf
1497341662000,48.2641259,11.671161,24,,80ec3f676e17debf
1497341663000,48.2641259,11.671161,24,,80ec3f676e17debf
1497341664000,48.2641259,11.671161,24,,80ec3f676e17debf
1497341676761,48.2638632,11.6712383,351.8280029296875,,80ec3f676e17debf
1497341681747,48.2638632,11.6712383,416.64599609375,,80ec3f676e17debf
1497341686756,48.2638632,11.6712383,481.7760009765625,,80ec3f676e17debf
1497341691769,48.2638632,11.6712383,546.9439697265625,,80ec3f676e17debf
1497341696768,48.2638632,11.6712383,611.9190063476562,,80ec3f676e17debf
1497341701774,48.2638632,11.6712383,677.010009765625,,80ec3f676e17debf
1497341706797,48.2638632,11.6712383,742.3090209960938,,80ec3f676e17debf
1497341711809,48.2638632,11.6712383,807.4650268554688,,80ec3f676e17debf
1497341716830,48.2638632,11.6712383,872.7249755859375,,80ec3f676e17debf
