timestamp, signal strength, UUID 
1497341640381,-77,,80ec3f676e17debf
1497341641191,-77,,80ec3f676e17debf
1497341641324,-77,,80ec3f676e17debf
1497341641474,-77,,80ec3f676e17debf
1497341641552,-77,,80ec3f676e17debf
1497341641637,-77,,80ec3f676e17debf
1497341641708,-77,,80ec3f676e17debf
1497341641771,-77,,80ec3f676e17debf
1497341641879,-77,,80ec3f676e17debf
1497341641984,-77,,80ec3f676e17debf
1497341642066,-77,,80ec3f676e17debf
1497341642163,-77,,80ec3f676e17debf
1497341642271,-77,,80ec3f676e17debf
1497341642369,-77,,80ec3f676e17debf
1497341642464,-77,,80ec3f676e17debf
1497341642604,-77,,80ec3f676e17debf
1497341642696,-77,,80ec3f676e17debf
1497341642821,-77,,80ec3f676e17debf
1497341642901,-77,,80ec3f676e17debf
1497341642980,-77,,80ec3f676e17debf
1497341643107,-77,,80ec3f676e17debf
1497341643171,-77,,80ec3f676e17debf
1497341643274,-77,,80ec3f676e17debf
1497341643374,-77,,80ec3f676e17debf
1497341643478,-77,,80ec3f676e17debf
1497341643570,-77,,80ec3f676e17debf
1497341643676,-77,,80ec3f676e17debf
1497341643778,-77,,80ec3f676e17debf
1497341643870,-77,,80ec3f676e17debf
1497341643965,-77,,80ec3f676e17debf
1497341644066,-77,,80ec3f676e17debf
1497341644162,-77,,80ec3f676e17debf
1497341644282,-77,,80ec3f676e17debf
1497341644373,-77,,80ec3f676e17debf
1497341644470,-77,,80ec3f676e17debf
1497341644573,-77,,80ec3f676e17debf
1497341644671,-77,,80ec3f676e17debf
1497341644768,-77,,80ec3f676e17debf
1497341644872,-77,,80ec3f676e17debf
1497341645334,-71,,80ec3f676e17debf
1497341645395,-71,,80ec3f676e17debf
1497341645406,-71,,80ec3f676e17debf
1497341645471,-71,,80ec3f676e17debf
1497341645566,-71,,80ec3f676e17debf
1497341645668,-71,,80ec3f676e17debf
1497341645771,-71,,80ec3f676e17debf
1497341645868,-71,,80ec3f676e17debf
1497341645961,-71,,80ec3f676e17debf
1497341646111,-71,,80ec3f676e17debf
1497341646153,-71,,80ec3f676e17debf
1497341646255,-71,,80ec3f676e17debf
1497341646347,-71,,80ec3f676e17debf
1497341646459,-71,,80ec3f676e17debf
1497341646557,-71,,80ec3f676e17debf
1497341646656,-71,,80ec3f676e17debf
1497341646756,-71,,80ec3f676e17debf
1497341646851,-71,,80ec3f676e17debf
1497341646971,-71,,80ec3f676e17debf
1497341647107,-71,,80ec3f676e17debf
1497341647173,-71,,80ec3f676e17debf
1497341647282,-71,,80ec3f676e17debf
1497341647374,-71,,80ec3f676e17debf
1497341647474,-71,,80ec3f676e17debf
1497341647567,-71,,80ec3f676e17debf
1497341647673,-71,,80ec3f676e17debf
1497341647781,-71,,80ec3f676e17debf
1497341647880,-71,,80ec3f676e17debf
1497341647971,-71,,80ec3f676e17debf
1497341648076,-71,,80ec3f676e17debf
1497341648163,-71,,80ec3f676e17debf
1497341648268,-71,,80ec3f676e17debf
1497341648364,-71,,80ec3f676e17debf
1497341648462,-71,,80ec3f676e17debf
1497341648564,-71,,80ec3f676e17debf
1497341648689,-71,,80ec3f676e17debf
1497341648758,-71,,80ec3f676e17debf
1497341648875,-71,,80ec3f676e17debf
1497341649052,-77,,80ec3f676e17debf
1497341650046,-77,,80ec3f676e17debf
1497341650089,-77,,80ec3f676e17debf
1497341650172,-77,,80ec3f676e17debf
1497341650289,-77,,80ec3f676e17debf
1497341650369,-77,,80ec3f676e17debf
1497341650473,-77,,80ec3f676e17debf
1497341650569,-77,,80ec3f676e17debf
1497341650669,-77,,80ec3f676e17debf
1497341650762,-77,,80ec3f676e17debf
1497341650878,-77,,80ec3f676e17debf
1497341650966,-77,,80ec3f676e17debf
1497341651065,-77,,80ec3f676e17debf
1497341651169,-77,,80ec3f676e17debf
1497341651274,-77,,80ec3f676e17debf
1497341651365,-77,,80ec3f676e17debf
1497341651470,-77,,80ec3f676e17debf
1497341651603,-77,,80ec3f676e17debf
1497341651688,-77,,80ec3f676e17debf
1497341651771,-77,,80ec3f676e17debf
1497341651867,-77,,80ec3f676e17debf
1497341651974,-77,,80ec3f676e17debf
1497341652073,-77,,80ec3f676e17debf
1497341652185,-77,,80ec3f676e17debf
1497341652275,-77,,80ec3f676e17debf
1497341652375,-77,,80ec3f676e17debf
1497341652474,-77,,80ec3f676e17debf
1497341652561,-77,,80ec3f676e17debf
1497341652680,-77,,80ec3f676e17debf
1497341652766,-77,,80ec3f676e17debf
1497341652874,-77,,80ec3f676e17debf
1497341652998,-77,,80ec3f676e17debf
1497341653104,-77,,80ec3f676e17debf
1497341653204,-77,,80ec3f676e17debf
