UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
80ec3f676e17debf,-1.3847099043117486,-1.1375258071668208,-1.0161194366502244,-1.0698441611174114,-2.0094561120514807,-1.4861325648261718,1.8777228069738048,-0.76216877946384,-0.2831078769078436,-0.6768096711981103,0.09191311658254395,0.030767289208992476,-0.7608414104278075,-1.1889791697601733,-1.3384433046572293,-1.2641028214856553,-1.3944686772234816,-1.2169440218296639,-1.3099441221907846,-1.324953285730413,-1.341814966976016,-0.4764513783829726,-0.670625456126008,-0.5275431895281278,undefined,1498223269388
80ec3f676e17debf,-1.3791658511188856,-1.1433960740600042,-1.023775566388554,-1.079866170714369,-1.9948195652677663,-1.4946273091570283,1.888996789611521,-0.7054760444774957,-0.28392448288131616,-0.6757244852725738,0.09197690232583085,0.040833810153504166,-0.7738970588235294,-1.1964119110698703,-1.3432722803072732,-1.2687376139937068,-1.3955869622261257,-1.2217158958449617,-1.315505102321793,-1.3267193026185746,-1.3468696619800358,-0.47637080254657316,-0.6703741298076243,-0.5271957227137336,undefined,1498223270884
80ec3f676e17debf,-1.406886142962258,-1.1357648790844261,-1.0327074636129887,-1.0841859285463114,-1.9612470502022228,-1.5033433189370193,1.899605424116521,-0.6530011294814829,-0.283904348913132,-0.6760910702318397,0.09225515515740106,-0.08815402185956116,-0.7826008244206774,-1.19959737261404,-1.3481012541167585,-1.266420217739681,-1.4041924918061335,-1.2276353439047683,-1.319276618410226,-1.3247060433663396,-1.3512681971370486,-0.47644023779011846,-0.670272118751723,-0.5270241304081523,undefined,1498223272384
80ec3f676e17debf,-1.404114107739474,-1.1433960740600042,-1.0282417691377206,-1.0796861439482643,-1.9403156564148574,-1.5090709139954708,1.9051543083772926,-0.62739627460844,-0.2830738703316622,-0.6771941353231455,0.09257553155847528,0.02306296850895115,-0.9175091911764707,-1.1985355515597014,-1.3456867662917364,-1.2641028214856553,-1.3992362297187382,-1.224671988333124,-1.319308716386942,-1.3133328946122331,-1.3479688083428276,-0.4763698996156183,-0.6704108072533919,-0.5269730807342746,undefined,1498223273899
80ec3f676e17debf,-1.3944120146519638,-1.0993698322889307,-1.0199472473824398,-1.073628264224544,-1.9225316857652228,-1.4976879139876376,1.9020669138733628,-0.6241617562925729,-0.28263135923025645,-0.6775912614478009,0.09183202859755472,-0.005920771607950829,-0.8348234180035651,-1.202782835777057,-1.3481012513559207,-1.2756897974561487,-1.4147338999787578,-1.2309618556540807,-1.321587675128603,-1.3434964636652795,-1.3569009966319294,-0.47618140871304593,-0.6732937821273202,-0.529098309363779,undefined,1498223275375
80ec3f676e17debf,-1.3957980279501796,-1.1034789372757805,-1.0167573203932772,-1.0664508779001216,-1.9150436979851302,-1.4884268595134151,1.8961025070475523,-0.6448677287305576,-0.28328572095630045,-0.6771141826205898,0.09199010982603127,0.01349471983116387,-0.847879066399287,-1.202782835777057,-1.345686764451178,-1.264102817952565,-1.41463744600063,-1.2294438622051604,-1.3209617639307931,-1.3416951263768895,-1.3554180026585627,-0.4761096957472847,-0.6731233495537268,-0.529191236866248,undefined,1498223276927
80ec3f676e17debf,-1.3680777447331596,-1.1023049072795377,-0.9969788581674517,-1.052788452256437,-1.7777707871382051,-1.4523189941756736,1.8798555676313649,-0.6547989345179626,-0.24856270775484268,-0.7066899734131386,0.08916094484351704,-0.05322641541224119,-0.8696384803921569,-1.1857937070018683,-1.3311998411821635,-1.2548332435357328,-1.3975330534656223,-1.1970866341294997,-1.2985332797911806,-1.304644091982687,-1.3254789546155834,-0.46833073975956013,-0.664624761070972,-0.5220915722756929,undefined,1498223282721
80ec3f676e17debf,-1.361147660989376,-1.1017178922814161,-0.9969788581674517,-1.0443658703862841,-1.7685445166486347,-1.458710426404642,1.8541886617331793,-0.8319524997059009,-0.2520511979080844,-0.7201895309227885,0.10963982069762845,-0.05827555553575291,-0.8696384803921569,-1.183670068130884,-1.3263708710537951,-1.2501984510276811,-1.3910426995560135,-1.1938182272086044,-1.2957407530022813,-1.2913459846058613,-1.3208043274743921,-0.4674436909099517,-0.6622898767372475,-0.5182891421410297,undefined,1498223282879
80ec3f676e17debf,-1.0576104726368483,-1.0383202724843064,-0.8802227525894546,-0.9544395604304595,-1.656821275300759,-1.5033270058121935,1.9203887635085193,-0.43851456845602976,-0.2947557386581889,-0.7379838309563125,0.09521810027020382,-0.15177598287314858,-0.4649133801247772,-1.1040335416679856,-1.2817028577943799,-1.1528678754873134,-1.177559642199563,-1.1492589465346061,-1.2499930648719173,-1.1163160492692048,-1.252487097910357,-0.4537552849845607,-0.6310738443865631,-0.4797922193896758,undefined,1498223284382
80ec3f676e17debf,-0.930097128432065,-0.6321055430483983,-0.3366375411680713,-0.3520294871100118,-1.5625014335100156,-1.556144835546767,1.8840501057271626,-0.7336197442032106,-0.3096126872104156,-0.72663234984117,0.09204409183643536,-0.3720202805829944,-0.4475058489304813,-1.0647461853213005,-1.1802943949112779,-0.9188109986874105,-1.0573122211089312,-1.1171196123302625,-1.2093409357991909,-1.0501787163183658,-1.2104714144054753,-0.44888901814279863,-0.6222094154666816,-0.4758121397296048,undefined,1498223285914
