timestamp, latitude, longitude, accuracy, UUID 
1498223095151,48.2647255,11.6722306,50,,80ec3f676e17debf
1498223097679,48.2638619,11.6712272,104.0999984741211,,80ec3f676e17debf
1498223104205,48.2650531,11.6716869,64,,80ec3f676e17debf
1498223105205,48.2651539,11.6713643,64,,80ec3f676e17debf
1498223106136,48.2649245,11.6712551,24,,80ec3f676e17debf
1498223107158,48.2649281,11.6712603,32,,80ec3f676e17debf
1498223108165,48.2649338,11.6712659,24,,80ec3f676e17debf
1498223109165,48.2649369,11.6712704,24,,80ec3f676e17debf
1498223108042,48.2649369,11.6712704,27.049999237060547,,80ec3f676e17debf
1498223110000,48.2649379,11.6712652,24,,80ec3f676e17debf
1498223111000,48.26494,11.6712729,16,,80ec3f676e17debf
1498223112000,48.2649405,11.6712779,16,,80ec3f676e17debf
1498223113000,48.2649383,11.6712866,8,,80ec3f676e17debf
1498223114000,48.2649396,11.6712955,8,,80ec3f676e17debf
1498223115000,48.2649359,11.6713195,12,,80ec3f676e17debf
1498223116000,48.2649124,11.6713277,12,,80ec3f676e17debf
1498223117000,48.2648596,11.6713212,12,,80ec3f676e17debf
1498223118000,48.2648382,11.6713087,8,,80ec3f676e17debf
1498223119000,48.2648094,11.6712884,8,,80ec3f676e17debf
1498223120000,48.2647868,11.6712766,24,,80ec3f676e17debf
1498223121000,48.2647757,11.6712767,8,,80ec3f676e17debf
1498223122000,48.2647719,11.6712918,24,,80ec3f676e17debf
1498223123000,48.2647667,11.6712963,24,,80ec3f676e17debf
1498223124000,48.2647648,11.6713006,24,,80ec3f676e17debf
1498223125000,48.2647525,11.6712991,48,,80ec3f676e17debf
1498223126000,48.2647472,11.6713083,32,,80ec3f676e17debf
1498223127000,48.2647489,11.6713125,32,,80ec3f676e17debf
1498223128000,48.2647493,11.6713121,16,,80ec3f676e17debf
1498223129000,48.2647493,11.6713121,16,,80ec3f676e17debf
1498223130000,48.2647493,11.6713121,16,,80ec3f676e17debf
1498223131000,48.2647493,11.6713121,24,,80ec3f676e17debf
1498223132000,48.2647493,11.6713121,48,,80ec3f676e17debf
1498223133000,48.2647493,11.6713121,48,,80ec3f676e17debf
1498223134000,48.2647493,11.6713121,48,,80ec3f676e17debf
1498223135000,48.2647493,11.6713121,48,,80ec3f676e17debf
1498223136000,48.2647493,11.6713121,24,,80ec3f676e17debf
1498223137000,48.2647285,11.6713599,32,,80ec3f676e17debf
1498223138000,48.264725,11.6713641,48,,80ec3f676e17debf
1498223139000,48.2647195,11.6713665,24,,80ec3f676e17debf
1498223140000,48.2647193,11.6713665,24,,80ec3f676e17debf
1498223141000,48.2647185,11.6713671,24,,80ec3f676e17debf
1498223142000,48.2647171,11.6713692,32,,80ec3f676e17debf
1498223143000,48.2647158,11.6713716,32,,80ec3f676e17debf
1498223144000,48.2647139,11.6713745,16,,80ec3f676e17debf
1498223145000,48.2647119,11.6713773,16,,80ec3f676e17debf
1498223146000,48.2647101,11.6713801,32,,80ec3f676e17debf
1498223147000,48.264709,11.6713823,24,,80ec3f676e17debf
1498223148000,48.2647075,11.6713849,24,,80ec3f676e17debf
1498223149000,48.2647057,11.6713882,24,,80ec3f676e17debf
1498223150000,48.264704,11.6713917,16,,80ec3f676e17debf
1498223151000,48.2647026,11.6713947,16,,80ec3f676e17debf
1498223152000,48.2647015,11.671397,32,,80ec3f676e17debf
1498223153000,48.2647006,11.671399,24,,80ec3f676e17debf
1498223154000,48.2647,11.6714009,24,,80ec3f676e17debf
1498223155000,48.2647016,11.6714041,32,,80ec3f676e17debf
1498223156000,48.2647044,11.6714131,32,,80ec3f676e17debf
1498223157000,48.2647104,11.6714327,32,,80ec3f676e17debf
1498223158000,48.2647109,11.6714341,32,,80ec3f676e17debf
1498223159000,48.2647113,11.671436,24,,80ec3f676e17debf
1498223160000,48.2647116,11.6714379,32,,80ec3f676e17debf
1498223161000,48.2647112,11.6714413,32,,80ec3f676e17debf
1498223162000,48.2647112,11.671445,48,,80ec3f676e17debf
1498223163000,48.2647085,11.6714555,48,,80ec3f676e17debf
1498223164000,48.2647055,11.6714697,48,,80ec3f676e17debf
1498223165000,48.2647029,11.6714856,24,,80ec3f676e17debf
1498223166000,48.2647013,11.6715027,48,,80ec3f676e17debf
1498223167000,48.2647001,11.6715231,32,,80ec3f676e17debf
1498223168000,48.2647025,11.671538,48,,80ec3f676e17debf
1498223169000,48.2647058,11.6715527,16,,80ec3f676e17debf
1498223170000,48.26471,11.6715684,24,,80ec3f676e17debf
1498223171000,48.2647152,11.6715826,32,,80ec3f676e17debf
1498223172000,48.2647197,11.6715973,48,,80ec3f676e17debf
1498223173000,48.2647239,11.6716117,48,,80ec3f676e17debf
1498223174000,48.264728,11.6716255,48,,80ec3f676e17debf
1498223176000,48.264728,11.6716255,48,,80ec3f676e17debf
1498223179683,48.264728,11.6716255,48,,80ec3f676e17debf
1498223184691,48.264728,11.6716255,48,,80ec3f676e17debf
1498223189027,48.2639275,11.6589713,1299.9990234375,,80ec3f676e17debf
