timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1498223030477,-0.028099801391363144,0.018325956538319588,0.00733038317412138,,80ec3f676e17debf
1498223095774,0.01710422709584236,0.09285151958465576,0.13805554807186127,,80ec3f676e17debf
1498223095824,-0.1417207419872284,0.006108652334660292,0.13316862285137177,,80ec3f676e17debf
1498223095924,0.3176499307155609,-0.05497787147760391,0.15271630883216858,,80ec3f676e17debf
1498223095984,0.2675589919090271,0.1771509200334549,0.06719517707824707,,80ec3f676e17debf
1498223096025,0.2565633952617645,0.375071257352829,0.22479841113090515,,80ec3f676e17debf
1498223096082,0.00366519158706069,-0.015882495790719986,0.3396410644054413,,80ec3f676e17debf
1498223096111,-0.22602014243602753,-0.22968533635139465,0.0403171069920063,,80ec3f676e17debf
1498223096142,-0.27000242471694946,-0.15027284622192383,-0.05864306539297104,,80ec3f676e17debf
1498223096223,0.0806342139840126,0.08796459436416626,-0.06841690838336945,,80ec3f676e17debf
1498223096296,-0.04764748737215996,-0.04642575979232788,-0.1062905490398407,,80ec3f676e17debf
1498223096324,-0.0354301854968071,-0.14416420459747314,-0.05375614017248154,,80ec3f676e17debf
1498223096394,-0.04398229718208313,-0.33475416898727417,-0.00855211354792118,,80ec3f676e17debf
1498223096445,-0.14294247329235077,-0.11850785464048386,0.039095375686883926,,80ec3f676e17debf
1498223096493,-0.17348572611808777,-0.06963863968849182,-0.004886921960860491,,80ec3f676e17debf
1498223096531,-0.009773843921720982,-0.030543262138962746,-0.04153883829712868,,80ec3f676e17debf
1498223096603,-0.009773843921720982,-0.09896016865968704,-0.06963863968849182,,80ec3f676e17debf
1498223096644,0.009773843921720982,0.03176499158143997,-0.06352998316287994,,80ec3f676e17debf
1498223096683,0.042760565876960754,-0.01710422709584236,-0.05619960278272629,,80ec3f676e17debf
1498223096715,0.07941248267889023,-0.1270599663257599,-0.00366519158706069,,80ec3f676e17debf
1498223096745,0.02687807008624077,-0.13439035415649414,0,,80ec3f676e17debf
1498223096784,-0.0354301854968071,-0.03420845419168472,0.006108652334660292,,80ec3f676e17debf
1498223096809,-0.012217304669320583,-0.036651913076639175,0.006108652334660292,,80ec3f676e17debf
1498223096833,0.01466076634824276,-0.04398229718208313,0.004886921960860491,,80ec3f676e17debf
1498223096923,0.021991148591041565,-0.025656340643763542,0.04153883829712868,,80ec3f676e17debf
1498223096965,-0.019547687843441963,0.010995574295520782,0.045204028487205505,,80ec3f676e17debf
1498223096974,-0.019547687843441963,0.006108652334660292,0.04764748737215996,,80ec3f676e17debf
1498223097003,-0.025656340643763542,-0.0024434609804302454,0.04153883829712868,,80ec3f676e17debf
1498223097015,-0.02321287989616394,-0.02076941914856434,0.04398229718208313,,80ec3f676e17debf
1498223097024,-0.018325956538319588,-0.02687807008624077,0.04886921867728233,,80ec3f676e17debf
1498223097084,-0.03420845419168472,-0.024434609338641167,0.04153883829712868,,80ec3f676e17debf
1498223097105,-0.018325956538319588,-0.018325956538319588,0.04153883829712868,,80ec3f676e17debf
1498223097141,-0.019547687843441963,0.024434609338641167,0.03420845419168472,,80ec3f676e17debf
1498223097184,-0.07819075137376785,0.08674286305904388,0.013439035043120384,,80ec3f676e17debf
1498223097227,-0.02321287989616394,0.010995574295520782,0.013439035043120384,,80ec3f676e17debf
1498223097262,-0.015882495790719986,-0.05742133408784866,-0.00733038317412138,,80ec3f676e17debf
1498223097285,-0.015882495790719986,-0.02932153269648552,-0.006108652334660292,,80ec3f676e17debf
1498223097299,-0.015882495790719986,-0.015882495790719986,-0.00733038317412138,,80ec3f676e17debf
