prediction, timestamp 
walking,1498223097086
walking,1498223099074
walking,1498223100186
walking,1498223101579
walking,1498223103085
walking,1498223104607
walking,1498223106905
walking,1498223107600
walking,1498223109091
walking,1498223110575
walking,1498223112091
walking,1498223113596
walking,1498223115099
walking,1498223117034
walking,1498223118080
walking,1498223119602
walking,1498223121141
walking,1498223122597
walking,1498223124095
walking,1498223125596
walking,1498223127098
walking,1498223128997
walking,1498223130094
walking,1498223131600
walking,1498223133084
walking,1498223135154
walking,1498223136099
walking,1498223137589
walking,1498223139094
walking,1498223140589
walking,1498223142088
walking,1498223143586
walking,1498223145089
walking,1498223146566
walking,1498223148071
walking,1498223149990
walking,1498223151078
walking,1498223152627
walking,1498223154074
walking,1498223155578
walking,1498223157118
walking,1498223158573
walking,1498223160547
walking,1498223162412
walking,1498223163087
walking,1498223164610
walking,1498223166090
walking,1498223168357
walking,1498223169131
walking,1498223171274
elevator down,1498223172097
elevator down,1498223174995
elevator down,1498223175078
elevator down,1498223177052
elevator down,1498223178291
elevator down,1498223179582
elevator down,1498223181101
elevator down,1498223182579
elevator down,1498223184086
elevator down,1498223185584
elevator down,1498223187082
elevator down,1498223188581
elevator down,1498223190079
elevator down,1498223191622
