timestamp, light1, light2, light3, UUID 
1498222475373,104749,5592,104749,,80ec3f676e17debf
1498222476815,97114,5645,97114,,80ec3f676e17debf
1498222477172,99829,5593,99829,,80ec3f676e17debf
1498222477172,99829,5593,99829,,80ec3f676e17debf
1498222477362,99516,5597,99516,,80ec3f676e17debf
1498222477362,99516,5597,99516,,80ec3f676e17debf
1498222477534,100633,5596,100633,,80ec3f676e17debf
1498222477534,100633,5596,100633,,80ec3f676e17debf
1498222477715,98491,5622,98491,,80ec3f676e17debf
1498222477715,98491,5622,98491,,80ec3f676e17debf
1498222477894,98577,5634,98577,,80ec3f676e17debf
1498222478081,98477,5584,98477,,80ec3f676e17debf
1498222478081,98477,5584,98477,,80ec3f676e17debf
1498222478255,99561,5607,99561,,80ec3f676e17debf
1498222478255,99561,5607,99561,,80ec3f676e17debf
1498222478434,99750,5595,99750,,80ec3f676e17debf
1498222478613,100410,5609,100410,,80ec3f676e17debf
1498222478794,100274,5592,100274,,80ec3f676e17debf
1498222478794,100274,5592,100274,,80ec3f676e17debf
1498222478973,100390,5608,100390,,80ec3f676e17debf
1498222478973,100390,5608,100390,,80ec3f676e17debf
1498222479155,100851,5633,100851,,80ec3f676e17debf
1498222479155,100851,5633,100851,,80ec3f676e17debf
1498222479334,100579,5625,100579,,80ec3f676e17debf
1498222479334,100579,5625,100579,,80ec3f676e17debf
1498222479513,100220,5606,100220,,80ec3f676e17debf
1498222479513,100220,5606,100220,,80ec3f676e17debf
1498222479693,100389,5598,100389,,80ec3f676e17debf
1498222479879,99730,5610,99730,,80ec3f676e17debf
1498222479879,99730,5610,99730,,80ec3f676e17debf
1498222480054,99145,5610,99145,,80ec3f676e17debf
1498222480054,99145,5610,99145,,80ec3f676e17debf
1498222480236,98910,5599,98910,,80ec3f676e17debf
1498222480236,98910,5599,98910,,80ec3f676e17debf
1498222480414,99660,5601,99660,,80ec3f676e17debf
1498222480414,99660,5601,99660,,80ec3f676e17debf
1498222480595,99940,5601,99940,,80ec3f676e17debf
1498222480773,99990,5601,99990,,80ec3f676e17debf
1498222480773,99990,5601,99990,,80ec3f676e17debf
1498222480962,100971,5587,100971,,80ec3f676e17debf
1498222480962,100971,5587,100971,,80ec3f676e17debf
1498222481135,100917,5588,100917,,80ec3f676e17debf
1498222481135,100917,5588,100917,,80ec3f676e17debf
1498222481315,99841,5602,99841,,80ec3f676e17debf
1498222481493,100035,5605,100035,,80ec3f676e17debf
1498222481493,100035,5605,100035,,80ec3f676e17debf
1498222481672,100719,5589,100719,,80ec3f676e17debf
1498222481672,100719,5589,100719,,80ec3f676e17debf
1498222481853,100583,5601,100583,,80ec3f676e17debf
1498222481853,100583,5601,100583,,80ec3f676e17debf
1498222482034,99734,5624,99734,,80ec3f676e17debf
1498222482034,99734,5624,99734,,80ec3f676e17debf
1498222482214,99540,5628,99540,,80ec3f676e17debf
1498222482214,99540,5628,99540,,80ec3f676e17debf
1498222482401,99565,5624,99565,,80ec3f676e17debf
1498222482573,99915,5627,99915,,80ec3f676e17debf
1498222482573,99915,5627,99915,,80ec3f676e17debf
1498222482753,99857,5627,99857,,80ec3f676e17debf
1498222482753,99857,5627,99857,,80ec3f676e17debf
1498222482933,99907,5626,99907,,80ec3f676e17debf
1498222482933,99907,5626,99907,,80ec3f676e17debf
1498222483114,100138,5626,100138,,80ec3f676e17debf
1498222483114,100138,5626,100138,,80ec3f676e17debf
1498222483293,100117,5623,100117,,80ec3f676e17debf
1498222483480,100459,5631,100459,,80ec3f676e17debf
1498222483480,100459,5631,100459,,80ec3f676e17debf
1498222483657,101353,5629,101353,,80ec3f676e17debf
1498222483657,101353,5629,101353,,80ec3f676e17debf
1498222483834,101679,5636,101679,,80ec3f676e17debf
1498222483834,101679,5636,101679,,80ec3f676e17debf
1498222484015,101844,5636,101844,,80ec3f676e17debf
1498222484015,101844,5636,101844,,80ec3f676e17debf
1498222484196,101774,5635,101774,,80ec3f676e17debf
1498222484377,102062,5635,102062,,80ec3f676e17debf
1498222484377,102062,5635,102062,,80ec3f676e17debf
1498222484557,101757,5632,101757,,80ec3f676e17debf
1498222484557,101757,5632,101757,,80ec3f676e17debf
1498222484733,101823,5632,101823,,80ec3f676e17debf
1498222484733,101823,5632,101823,,80ec3f676e17debf
1498222484913,101629,5637,101629,,80ec3f676e17debf
1498222484913,101629,5637,101629,,80ec3f676e17debf
1498222485095,101720,5633,101720,,80ec3f676e17debf
1498222485273,101831,5633,101831,,80ec3f676e17debf
1498222485273,101831,5633,101831,,80ec3f676e17debf
1498222485455,101806,5637,101806,,80ec3f676e17debf
1498222485455,101806,5637,101806,,80ec3f676e17debf
1498222485635,101555,5641,101555,,80ec3f676e17debf
1498222485635,101555,5641,101555,,80ec3f676e17debf
1498222485816,101538,5638,101538,,80ec3f676e17debf
1498222485993,101703,5637,101703,,80ec3f676e17debf
1498222485993,101703,5637,101703,,80ec3f676e17debf
1498222486190,101678,5642,101678,,80ec3f676e17debf
1498222486190,101678,5642,101678,,80ec3f676e17debf
1498222486357,101868,5637,101868,,80ec3f676e17debf
1498222486357,101868,5637,101868,,80ec3f676e17debf
1498222486534,101534,5638,101534,,80ec3f676e17debf
1498222486534,101534,5638,101534,,80ec3f676e17debf
1498222486713,101806,5637,101806,,80ec3f676e17debf
1498222486713,101806,5637,101806,,80ec3f676e17debf
1498222486893,102013,5627,102013,,80ec3f676e17debf
1498222487073,101481,5624,101481,,80ec3f676e17debf
1498222487073,101481,5624,101481,,80ec3f676e17debf
1498222487253,101527,5616,101527,,80ec3f676e17debf
1498222487253,101527,5616,101527,,80ec3f676e17debf
