1498222476942,ec:08:6b:8a:c2:69,-90;,24:a4:3c:fa:33:28,-92;,,80ec3f676e17debf
1498222477206,ec:08:6b:8a:c2:69,-90;,24:a4:3c:fa:33:28,-92;,,80ec3f676e17debf
1498222477462,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222477764,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222478067,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222478358,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222478668,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222478950,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222479259,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222479556,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222479857,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222480160,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222480481,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222480758,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222481059,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222481362,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222481653,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222481947,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222482245,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222482557,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222482847,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222483162,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
1498222483462,ec:08:6b:8a:c2:69,-87;,24:a4:3c:fa:33:28,-91;,,80ec3f676e17debf
