prediction, timestamp 
walking,1497865931858
walking,1497865933352
walking,1497865934870
walking,1497865936362
elevator down,1497865937850
elevator down,1497865939609
elevator down,1497865941454
elevator down,1497865942451
elevator down,1497865944129
elevator down,1497865945366
elevator down,1497865946858
elevator down,1497865948354
elevator down,1497865949871
elevator down,1497865951356
elevator down,1497865952853
elevator down,1497865954360
elevator down,1497865955931
walking,1497865957352
walking,1497865958859
walking,1497865960360
walking,1497865961871
walking,1497865964010
walking,1497865965082
walking,1497865966369
walking,1497865967853
walking,1497865969421
walking,1497865970857
walking,1497865972460
walking,1497865973891
walking,1497865975371
walking,1497865976853
walking,1497865979446
walking,1497865979871
walking,1497865981353
walking,1497865983152
walking,1497865984362
walking,1497865985854
walking,1497865987350
walking,1497865988916
walking,1497865990362
walking,1497865991860
walking,1497865993436
walking,1497865994871
walking,1497865996363
walking,1497865997933
walking,1497865999378
walking,1497866000862
walking,1497866002356
walking,1497866003842
walking,1497866005378
walking,1497866006883
walking,1497866008338
walking,1497866009920
walking,1497866011335
walking,1497866012990
walking,1497866014356
walking,1497866015843
walking,1497866017338
walking,1497866018865
walking,1497866020369
walking,1497866021857
walking,1497866023349
walking,1497866024930
walking,1497866026365
walking,1497866027834
walking,1497866029371
walking,1497866030851
