prediction, timestamp 
walking,1498223754977
walking,1498223756471
walking,1498223758015
walking,1498223759603
walking,1498223761043
walking,1498223762482
walking,1498223763990
walking,1498223765484
walking,1498223766981
walking,1498223768507
walking,1498223769995
walking,1498223771553
walking,1498223772987
walking,1498223774511
walking,1498223776067
walking,1498223777655
walking,1498223779034
walking,1498223780499
walking,1498223781980
walking,1498223783519
walking,1498223785011
walking,1498223786508
walking,1498223787984
walking,1498223789502
walking,1498223791018
walking,1498223792501
walking,1498223794137
walking,1498223795766
walking,1498223797065
walking,1498223798570
walking,1498223799990
walking,1498223801484
elevator down,1498223802992
elevator down,1498223804619
elevator down,1498223805985
elevator down,1498223807757
elevator down,1498223809023
elevator down,1498223810506
elevator down,1498223811982
elevator down,1498223813513
elevator down,1498223815063
elevator down,1498223816545
elevator down,1498223817993
elevator down,1498223819482
elevator down,1498223820980
elevator down,1498223822488
elevator down,1498223823988
elevator down,1498223825761
elevator down,1498223827001
elevator down,1498223828725
elevator down,1498223830071
elevator down,1498223831487
elevator down,1498223832971
elevator down,1498223834495
elevator down,1498223835984
elevator down,1498223837547
elevator down,1498223839010
elevator down,1498223840536
elevator down,1498223841986
elevator down,1498223843488
elevator down,1498223845016
