timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498223716085,48.70000076293945,-31.200000762939453,-0.5,57.8392621756488,,80ec3f676e17debf
1498223753875,-18.700000762939453,-27.5,-36.29999923706055,49.23037654096538,,80ec3f676e17debf
1498223753964,-17.80000114440918,-27.700000762939453,-36.5,49.156688923461566,,80ec3f676e17debf
1498223754023,-17.200000762939453,-27.899999618530273,-36.900001525878906,49.35443351333166,,80ec3f676e17debf
1498223754103,-16.899999618530273,-28.30000114440918,-37,49.55300254308669,,80ec3f676e17debf
1498223754144,-16.899999618530273,-28.5,-37.10000228881836,49.74203596156436,,80ec3f676e17debf
1498223754213,-17,-28.5,-37.20000076293945,49.85067790803476,,80ec3f676e17debf
1498223754282,-17.200000762939453,-28.399999618530273,-37.10000228881836,49.787650885174955,,80ec3f676e17debf
1498223754293,-17.30000114440918,-28.399999618530273,-37,49.74786464383264,,80ec3f676e17debf
1498223754354,-17.5,-28.399999618530273,-37,49.817767890167396,,80ec3f676e17debf
1498223754423,-17.399999618530273,-28.399999618530273,-37,49.782727695523484,,80ec3f676e17debf
1498223754503,-17.399999618530273,-28.600000381469727,-37.10000228881836,49.97129333398029,,80ec3f676e17debf
1498223754542,-17.399999618530273,-28.700000762939453,-37.10000228881836,50.02859381368428,,80ec3f676e17debf
1498223754607,-17.5,-29,-37.20000076293945,50.30994024932473,,80ec3f676e17debf
1498223754633,-17.600000381469727,-29.100000381469727,-37.20000076293945,50.40248104225469,,80ec3f676e17debf
1498223754668,-17.700000762939453,-29.200000762939453,-37.10000228881836,50.42162442802629,,80ec3f676e17debf
1498223754703,-17.80000114440918,-29.30000114440918,-37,50.441352857799124,,80ec3f676e17debf
1498223754742,-17.80000114440918,-29.5,-36.900001525878906,50.484652462677644,,80ec3f676e17debf
1498223754783,-17.899999618530273,-29.600000381469727,-36.60000228881836,50.360005837849954,,80ec3f676e17debf
1498223754805,-18,-29.700000762939453,-36.5,50.3819414756465,,80ec3f676e17debf
1498223754896,-18.30000114440918,-29.899999618530273,-35.900001525878906,50.17678798498599,,80ec3f676e17debf
1498223754955,-18.5,-30,-35.400001525878906,49.95408047647359,,80ec3f676e17debf
1498223754995,-18.700000762939453,-29.899999618530273,-35,49.68601394446382,,80ec3f676e17debf
1498223755023,-18.899999618530273,-29.80000114440918,-34.900001525878906,49.63124179741542,,80ec3f676e17debf
1498223755073,-19.100000381469727,-29.5,-34.400001525878906,49.17743522692137,,80ec3f676e17debf
1498223755103,-19.30000114440918,-29.399999618530273,-34.20000076293945,49.05598894395598,,80ec3f676e17debf
1498223755144,-19.700000762939453,-29,-34,48.837383497229546,,80ec3f676e17debf
1498223755183,-20,-28.5,-33.900001525878906,48.59485654889633,,80ec3f676e17debf
1498223755234,-20.5,-27.700000762939453,-33.900001525878906,48.33994333954388,,80ec3f676e17debf
1498223755275,-20.899999618530273,-26.899999618530273,-33.900001525878906,48.05861073645355,,80ec3f676e17debf
1498223755303,-21.200000762939453,-26.30000114440918,-34,47.92838508061321,,80ec3f676e17debf
1498223755344,-21.700000762939453,-25.399999618530273,-33.79999923706055,47.52357267416663,,80ec3f676e17debf
1498223755395,-22.200000762939453,-24.100000381469727,-34,47.21917009450783,,80ec3f676e17debf
1498223755413,-22.399999618530273,-23.5,-34.10000228881836,47.083119691797286,,80ec3f676e17debf
1498223755563,-23.200000762939453,-19.80000114440918,-33.79999923706055,45.52713511454769,,80ec3f676e17debf
1498223755676,-23.399999618530273,-17.30000114440918,-33.900001525878906,44.67728863336389,,80ec3f676e17debf
1498223755738,-23.399999618530273,-16.100000381469727,-34,44.30316037859207,,80ec3f676e17debf
1498223755803,-23.399999618530273,-14.90000057220459,-34.20000076293945,44.03646241437493,,80ec3f676e17debf
1498223755833,-23.399999618530273,-14.5,-34.400001525878906,44.05871202135247,,80ec3f676e17debf
1498223755914,-23.200000762939453,-13.300000190734863,-35,44.04690739040801,,80ec3f676e17debf
1498223755956,-22.899999618530273,-12.600000381469727,-35.20000076293945,43.8430156578292,,80ec3f676e17debf
1498223755995,-22.600000381469727,-12.100000381469727,-35.5,43.78835476959296,,80ec3f676e17debf
1498223756014,-22.399999618530273,-11.90000057220459,-35.60000228881836,43.71189886677382,,80ec3f676e17debf
1498223756078,-21.700000762939453,-11.199999809265137,-36,43.500919990018915,,80ec3f676e17debf
1498223756094,-21.399999618530273,-11,-36,43.300808207873885,,80ec3f676e17debf
1498223756144,-20.600000381469727,-10.600000381469727,-36.29999923706055,43.06286062856411,,80ec3f676e17debf
1498223756186,-20,-10.40000057220459,-36.29999923706055,42.72996551248028,,80ec3f676e17debf
1498223756220,-19.600000381469727,-10.300000190734863,-36.5,42.690748501629656,,80ec3f676e17debf
1498223756275,-18.600000381469727,-10.300000190734863,-36.900001525878906,42.587088810598644,,80ec3f676e17debf
1498223756304,-18.200000762939453,-10.199999809265137,-37,42.47681737180984,,80ec3f676e17debf
1498223756344,-17.80000114440918,-10.40000057220459,-37.29999923706055,42.617953436775444,,80ec3f676e17debf
